Variable,Importance
children_ever_born,0.40595261598568605
current_age,0.24546837745228856
education_years,0.19189469024631275
wealth_numeric,0.07882527339372383
residence_binary,0.03968140569889363
year_2016,0.015658092817818377
year_2011,0.012667952573233762
year_2005,0.009851591832043084
