Effect,Estimate,CI_Lower,CI_Upper
Total Effect,-0.249066763526664,,
Direct Effect,-0.09532050332593571,,
Indirect Effect,-0.15692784480101937,-0.16904008451559732,-0.14561999758782534
Proportion Mediated,0.6300633716799366,,
