Interaction,Odds_Ratio,P_Value,CI_Lower,CI_Upper
education_level_no_education_x_year_2005.0,1.939577272674453,0.0005465361019646815,1.332241094026596,2.823783182745876
education_level_no_education_x_year_2011.0,2.3181977947555272,2.4987844228564744e-09,1.7583307842541427,3.056331074752226
education_level_no_education_x_year_2016.0,2.008984486127046,1.2011222984792368e-08,1.5804805594831,2.553665491981212
education_level_primary_x_year_2005.0,2.6982409970010193,1.338851525083331e-06,1.8042374806588548,4.035225160735729
education_level_primary_x_year_2011.0,2.5459741354395007,1.0168206118067095e-09,1.8862311848310258,3.436473933023003
education_level_primary_x_year_2016.0,2.251373388045764,2.526793485622484e-09,1.7240050683984465,2.940062198952425
education_level_secondary_x_year_2005.0,2.053812403053687,0.00066535919296951,1.3569556335631783,3.108535962860402
education_level_secondary_x_year_2011.0,2.1919845968594776,7.696779243195078e-06,1.5541949015315963,3.0915018882987413
education_level_secondary_x_year_2016.0,2.1703163053876584,3.911029399111714e-07,1.608839666063962,2.9277453588369395
