Interaction,Coef,Odds_Ratio,P_Value
const,0.7226204291712846,2.0598237670605686,1.9683479930162936e-45
current_age,0.00598455780336717,1.0060025010456837,1.05470627166751e-05
residence_binary,-0.05875705189096168,0.9429358258073575,0.16814077390085602
wealth_numeric,-0.0502650387139406,0.9509773452842332,0.002166218585149948
education_primary,-0.35388436914703586,0.7019561304489319,3.0063519272619286e-13
education_secondary,-0.9431693225626555,0.38939176952663235,6.21380436351508e-19
education_higher,-1.7277133887372087,0.17769025432573693,3.6860993602863235e-14
wealth_primary_interaction,0.003117320718500891,1.0031221846155276,0.8704632250967876
wealth_secondary_interaction,-0.05856015086096841,0.9431215091226945,0.03692057243105015
wealth_higher_interaction,-0.05078768121333799,0.9504804539671942,0.3464558637330295
